segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:1xbet,2,2,0,2.0,1.87,93.5,100.0,1.935,0.6572,1.0,0.3428,0.11864
bookmaker:bet365,40,17,23,40.0,-1.19,-2.98,42.5,2.335,0.5004,0.425,-0.0754,0.2322
bookmaker:betfair exchange,26,11,15,26.0,0.0,0.0,42.31,2.323,0.5101,0.4231,-0.0871,0.27612
bookmaker:betway,1,0,1,1.0,-1.0,-100.0,0.0,2.053,0.5412,0.0,-0.5412,0.2929
bookmaker:bzzoiro-consensus,1,1,0,1.0,1.01,101.0,100.0,2.01,0.5325,1.0,0.4675,0.21856
bookmaker:bzzoiroconsensus,2,1,1,2.0,0.5,25.0,50.0,2.77,0.4364,0.5,0.0636,0.27899
bookmaker:sbobet,2,2,0,2.0,1.53,76.5,100.0,2.083,0.5639,1.0,0.4361,0.19686
bookmaker:unibet,9,4,5,9.0,1.16,12.89,44.44,2.356,0.4755,0.4444,-0.0311,0.27357
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,25,10,15,25.0,-2.52,-10.08,40.0,2.324,0.5055,0.4,-0.1055,0.24222
context:ensemble,51,26,25,51.0,7.89,15.47,50.98,2.303,0.5076,0.5098,0.0022,0.25112
context:sstats,2,1,1,2.0,1.6,80.0,50.0,3.09,0.416,0.5,0.084,0.29844
context:sstats_form,2,0,2,2.0,-2.0,-100.0,0.0,2.446,0.4302,0.0,-0.4302,0.18644
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,54,24,30,54.0,0.9,1.67,44.44,2.327,0.5169,0.4444,-0.0724,0.24823
league:low,3,2,1,3.0,2.65,88.33,66.67,2.52,0.4826,0.6667,0.1841,0.39067
league:other,15,9,6,15.0,7.43,49.53,60.0,2.373,0.5466,0.6,0.0534,0.24975
league:preferred,41,18,23,41.0,-1.88,-4.59,43.9,2.321,0.4971,0.439,-0.0581,0.24313
league:secondary,24,9,15,24.0,-4.32,-18.0,37.5,2.263,0.4966,0.375,-0.1216,0.23931
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:over,3,0,3,3.0,-3.0,-100.0,0.0,2.449,0.5112,0.0,-0.5112,0.26571
market:totals:under,51,24,27,51.0,3.9,7.65,47.06,2.32,0.5172,0.4706,-0.0466,0.2472
odds:1.70-2.04,24,13,11,24.0,1.03,4.29,54.17,1.897,0.5971,0.5417,-0.0555,0.24692
odds:2.05-2.74,46,19,27,46.0,-2.69,-5.85,41.3,2.343,0.4833,0.413,-0.0702,0.24809
odds:2.75-3.49,12,5,7,12.0,2.94,24.5,41.67,2.978,0.4175,0.4167,-0.0008,0.24187
odds:3.50+,1,1,0,1.0,2.6,260.0,100.0,3.6,0.3762,1.0,0.6238,0.38913
prob:30-35,1,1,0,1.0,2.21,221.0,100.0,3.215,0.3338,1.0,0.6662,0.44382
prob:35-40,6,3,3,6.0,3.5,58.33,50.0,3.087,0.3829,0.5,0.1171,0.26337
prob:40-45,17,7,10,17.0,0.21,1.24,41.18,2.625,0.4276,0.4118,-0.0158,0.24242
prob:45-50,18,7,11,18.0,-2.25,-12.5,38.89,2.373,0.4711,0.3889,-0.0822,0.24409
prob:50-55,17,6,11,17.0,-4.38,-25.76,35.29,2.123,0.5236,0.3529,-0.1706,0.25773
prob:55-60,9,4,5,9.0,0.19,2.11,44.44,2.066,0.5725,0.4444,-0.128,0.26637
prob:60-65,11,8,3,11.0,4.73,43.0,72.73,1.95,0.6216,0.7273,0.1057,0.20264
prob:65-70,4,2,2,4.0,-0.33,-8.25,50.0,1.853,0.6698,0.5,-0.1698,0.27085
