segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:1xbet,1,1,0,1.0,0.77,77.0,100.0,1.773,0.6908,1.0,0.3092,0.0956
bookmaker:bet365,38,16,22,38.0,-1.59,-4.18,42.11,2.36,0.4974,0.4211,-0.0764,0.23111
bookmaker:betfair exchange,21,10,11,21.0,3.06,14.57,47.62,2.384,0.5016,0.4762,-0.0254,0.27426
bookmaker:betway,1,0,1,1.0,-1.0,-100.0,0.0,2.053,0.5412,0.0,-0.5412,0.2929
bookmaker:bzzoiro-consensus,1,1,0,1.0,1.01,101.0,100.0,2.01,0.5325,1.0,0.4675,0.21856
bookmaker:bzzoiroconsensus,2,1,1,2.0,0.5,25.0,50.0,2.77,0.4364,0.5,0.0636,0.27899
bookmaker:sbobet,1,1,0,1.0,0.63,63.0,100.0,2.255,0.4822,1.0,0.5178,0.26812
bookmaker:unibet,9,4,5,9.0,1.16,12.89,44.44,2.356,0.4755,0.4444,-0.0311,0.27357
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,24,9,15,24.0,-3.42,-14.25,37.5,2.341,0.4997,0.375,-0.1247,0.24708
context:ensemble,44,23,21,44.0,8.45,19.2,52.27,2.354,0.4974,0.5227,0.0253,0.24905
context:sstats,2,1,1,2.0,1.6,80.0,50.0,3.09,0.416,0.5,0.084,0.29844
context:sstats_form,1,0,1,1.0,-1.0,-100.0,0.0,2.625,0.3926,0.0,-0.3926,0.15413
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,45,20,25,45.0,1.56,3.47,44.44,2.391,0.5066,0.4444,-0.0621,0.24914
league:low,3,2,1,3.0,2.65,88.33,66.67,2.52,0.4826,0.6667,0.1841,0.39067
league:other,13,8,5,13.0,7.33,56.38,61.54,2.395,0.5424,0.6154,0.073,0.25608
league:preferred,35,15,20,35.0,-2.12,-6.06,42.86,2.383,0.4865,0.4286,-0.0579,0.24473
league:secondary,23,9,14,23.0,-3.32,-14.43,39.13,2.282,0.4917,0.3913,-0.1004,0.2335
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:over,2,0,2,2.0,-2.0,-100.0,0.0,2.54,0.5329,0.0,-0.5329,0.2892
market:totals:under,43,20,23,43.0,3.56,8.28,46.51,2.384,0.5053,0.4651,-0.0402,0.24728
odds:1.70-2.04,18,10,8,18.0,0.79,4.39,55.56,1.9,0.6018,0.5556,-0.0462,0.24273
odds:2.05-2.74,43,18,25,43.0,-1.79,-4.16,41.86,2.35,0.4794,0.4186,-0.0608,0.25061
odds:2.75-3.49,12,5,7,12.0,2.94,24.5,41.67,2.978,0.4175,0.4167,-0.0008,0.24187
odds:3.50+,1,1,0,1.0,2.6,260.0,100.0,3.6,0.3762,1.0,0.6238,0.38913
prob:30-35,1,1,0,1.0,2.21,221.0,100.0,3.215,0.3338,1.0,0.6662,0.44382
prob:35-40,6,3,3,6.0,3.5,58.33,50.0,3.087,0.3829,0.5,0.1171,0.26337
prob:40-45,17,7,10,17.0,0.21,1.24,41.18,2.625,0.4276,0.4118,-0.0158,0.24242
prob:45-50,17,7,10,17.0,-1.25,-7.35,41.18,2.379,0.4713,0.4118,-0.0595,0.24558
prob:50-55,15,5,10,15.0,-4.32,-28.8,33.33,2.119,0.5222,0.3333,-0.1889,0.25976
prob:55-60,6,3,3,6.0,0.79,13.17,50.0,2.157,0.5753,0.5,-0.0753,0.25805
prob:60-65,8,6,2,8.0,3.73,46.62,75.0,1.953,0.6197,0.75,0.1303,0.1986
prob:65-70,4,2,2,4.0,-0.33,-8.25,50.0,1.853,0.6698,0.5,-0.1698,0.27085
