segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,29,14,15,29.0,3.69,12.72,48.28,2.347,0.4963,0.4828,-0.0136,0.24111
bookmaker:betfair exchange,6,1,5,6.0,-4.16,-69.33,16.67,2.08,0.5255,0.1667,-0.3588,0.2572
bookmaker:unibet,8,3,5,8.0,-0.99,-12.38,37.5,2.256,0.488,0.375,-0.113,0.259
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,20,8,12,20.0,-1.32,-6.6,40.0,2.32,0.4925,0.4,-0.0925,0.25357
context:ensemble,20,9,11,20.0,0.95,4.75,45.0,2.309,0.4935,0.45,-0.0435,0.23692
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,14,4,10,14.0,-4.44,-31.71,28.57,2.258,0.5296,0.2857,-0.2438,0.24158
league:other,6,4,2,6.0,3.54,59.0,66.67,2.315,0.56,0.6667,0.1066,0.20396
league:preferred,22,10,12,22.0,0.47,2.14,45.45,2.263,0.4922,0.4545,-0.0377,0.25396
league:secondary,15,4,11,15.0,-5.47,-36.47,26.67,2.327,0.4841,0.2667,-0.2175,0.2531
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:under,14,4,10,14.0,-4.44,-31.71,28.57,2.258,0.5296,0.2857,-0.2438,0.24158
odds:1.70-2.04,7,3,4,7.0,-1.45,-20.71,42.86,1.883,0.5755,0.4286,-0.147,0.25004
odds:2.05-2.74,31,13,18,31.0,-0.51,-1.65,41.94,2.312,0.4889,0.4194,-0.0696,0.25114
odds:2.75-3.49,5,2,3,5.0,0.5,10.0,40.0,2.75,0.4531,0.4,-0.0531,0.21438
prob:35-40,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
prob:40-45,10,3,7,10.0,-2.62,-26.2,30.0,2.58,0.4324,0.3,-0.1324,0.23056
prob:45-50,12,5,7,12.0,-0.22,-1.83,41.67,2.319,0.4732,0.4167,-0.0565,0.251
prob:50-55,11,3,8,11.0,-4.25,-38.64,27.27,2.121,0.5173,0.2727,-0.2446,0.26349
prob:55-60,5,3,2,5.0,1.79,35.8,60.0,2.188,0.5771,0.6,0.0229,0.24546
prob:60-65,4,3,1,4.0,2.09,52.25,75.0,1.985,0.6187,0.75,0.1313,0.20053
