segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,4,2,2,4.0,-0.04,-1.0,50.0,2.052,0.5174,0.5,-0.0174,0.22113
bookmaker:unibet,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
context:bzzoiro,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
context:ensemble,4,2,2,4.0,0.15,3.75,50.0,2.1,0.4922,0.5,0.0078,0.24366
family:btts,4,2,2,4.0,-0.04,-1.0,50.0,2.052,0.5174,0.5,-0.0174,0.22113
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
league:other,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
league:preferred,2,2,0,2.0,2.15,107.5,100.0,2.075,0.4989,1.0,0.5011,0.25116
league:secondary,2,0,2,2.0,-2.0,-100.0,0.0,2.125,0.4856,0.0,-0.4856,0.23617
market:btts:yes,4,2,2,4.0,-0.04,-1.0,50.0,2.052,0.5174,0.5,-0.0174,0.22113
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
odds:1.70-2.04,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
odds:2.05-2.74,4,2,2,4.0,0.15,3.75,50.0,2.1,0.4922,0.5,0.0078,0.24366
prob:45-50,2,1,1,2.0,0.05,2.5,50.0,2.125,0.4818,0.5,0.0182,0.23672
prob:50-55,2,1,1,2.0,0.1,5.0,50.0,2.075,0.5027,0.5,-0.0027,0.25061
prob:60-65,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
