polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,family:h2h,19,0.1753,-15.72,52.63,0.351
positive,market:h2h:away,11,0.1033,-20.87,45.45,0.3512
positive,odds:1.70-2.04,12,0.0927,39.11,66.67,0.5739
positive,league:secondary,15,0.0831,30.48,46.67,0.3835
positive,context:api_football,11,0.0302,-40.31,45.45,0.4244
negative,market:spreads:away,8,-0.3649,-100.0,0.0,0.3649
negative,market:dnb:home,8,-0.259,-83.09,12.5,0.384
negative,family:spreads,13,-0.2142,14.16,15.38,0.3681
negative,league:other,22,-0.1947,-20.05,22.73,0.422
negative,family:totals,13,-0.1705,-37.55,38.46,0.5551
negative,odds:2.05-2.74,12,-0.1549,-42.84,33.33,0.4882
negative,family:dnb,23,-0.1543,-19.1,21.74,0.3717
negative,market:totals:under,10,-0.1299,-43.24,40.0,0.5299
negative,context:ensemble,48,-0.1096,-21.04,29.17,0.4013
negative,bookmaker:unibet,25,-0.1078,-38.58,28.0,0.3878
negative,market:dnb:away,15,-0.0985,22.46,26.67,0.3652
negative,odds:3.50+,37,-0.0739,-11.83,24.32,0.3172
negative,league:preferred,35,-0.0681,-47.87,34.29,0.411
negative,odds:2.75-3.49,9,-0.0607,-94.35,33.33,0.394
negative,prob:35-40,13,-0.0585,-53.04,30.77,0.3662
