segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,30,14,16,30.0,2.69,8.97,46.67,2.335,0.4987,0.4667,-0.032,0.24378
bookmaker:betfair exchange,7,1,6,7.0,-5.16,-73.71,14.29,2.137,0.5257,0.1429,-0.3828,0.26007
bookmaker:unibet,8,3,5,8.0,-0.99,-12.38,37.5,2.256,0.488,0.375,-0.113,0.259
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,22,8,14,22.0,-3.32,-15.09,36.36,2.313,0.4974,0.3636,-0.1338,0.25772
context:ensemble,20,9,11,20.0,0.95,4.75,45.0,2.309,0.4935,0.45,-0.0435,0.23692
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,16,4,12,16.0,-6.44,-40.25,25.0,2.256,0.5317,0.25,-0.2817,0.24878
league:other,6,4,2,6.0,3.54,59.0,66.67,2.315,0.56,0.6667,0.1066,0.20396
league:preferred,24,10,14,24.0,-1.53,-6.37,41.67,2.261,0.4968,0.4167,-0.0801,0.25773
league:secondary,15,4,11,15.0,-5.47,-36.47,26.67,2.327,0.4841,0.2667,-0.2175,0.2531
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:under,16,4,12,16.0,-6.44,-40.25,25.0,2.256,0.5317,0.25,-0.2817,0.24878
odds:1.70-2.04,8,3,5,8.0,-2.45,-30.63,37.5,1.897,0.5744,0.375,-0.1994,0.25891
odds:2.05-2.74,32,13,19,32.0,-1.51,-4.72,40.62,2.317,0.4901,0.4062,-0.0839,0.25196
odds:2.75-3.49,5,2,3,5.0,0.5,10.0,40.0,2.75,0.4531,0.4,-0.0531,0.21438
prob:35-40,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
prob:40-45,10,3,7,10.0,-2.62,-26.2,30.0,2.58,0.4324,0.3,-0.1324,0.23056
prob:45-50,12,5,7,12.0,-0.22,-1.83,41.67,2.319,0.4732,0.4167,-0.0565,0.251
prob:50-55,12,3,9,12.0,-5.25,-43.75,25.0,2.151,0.5181,0.25,-0.2681,0.26464
prob:55-60,6,3,3,6.0,0.79,13.17,50.0,2.157,0.5753,0.5,-0.0753,0.25805
prob:60-65,4,3,1,4.0,2.09,52.25,75.0,1.985,0.6187,0.75,0.1313,0.20053
