segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,33,14,19,33.0,-0.31,-0.94,42.42,2.366,0.4895,0.4242,-0.0652,0.23601
bookmaker:betfair exchange,19,10,9,19.0,5.06,26.63,52.63,2.365,0.5014,0.5263,0.025,0.27537
bookmaker:bzzoiro-consensus,1,1,0,1.0,1.01,101.0,100.0,2.01,0.5325,1.0,0.4675,0.21856
bookmaker:bzzoiroconsensus,2,1,1,2.0,0.5,25.0,50.0,2.77,0.4364,0.5,0.0636,0.27899
bookmaker:sbobet,1,1,0,1.0,0.63,63.0,100.0,2.255,0.4822,1.0,0.5178,0.26812
bookmaker:unibet,8,3,5,8.0,-0.99,-12.38,37.5,2.256,0.488,0.375,-0.113,0.259
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,22,8,14,22.0,-3.32,-15.09,36.36,2.313,0.4974,0.3636,-0.1338,0.25772
context:ensemble,36,20,16,36.0,9.71,26.97,55.56,2.366,0.4881,0.5556,0.0675,0.24774
context:sstats,2,1,1,2.0,1.6,80.0,50.0,3.09,0.416,0.5,0.084,0.29844
context:sstats_form,1,0,1,1.0,-1.0,-100.0,0.0,2.625,0.3926,0.0,-0.3926,0.15413
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,35,16,19,35.0,2.92,8.34,45.71,2.397,0.4981,0.4571,-0.0409,0.25462
league:low,2,1,1,2.0,0.5,25.0,50.0,2.205,0.5362,0.5,-0.0362,0.39094
league:other,10,7,3,10.0,8.56,85.6,70.0,2.549,0.5092,0.7,0.1908,0.24278
league:preferred,30,13,17,30.0,-0.84,-2.8,43.33,2.37,0.4799,0.4333,-0.0466,0.25727
league:secondary,22,9,13,22.0,-2.32,-10.55,40.91,2.266,0.4958,0.4091,-0.0867,0.23678
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:over,1,0,1,1.0,-1.0,-100.0,0.0,3.04,0.4607,0.0,-0.4607,0.21224
market:totals:under,34,16,18,34.0,3.92,11.53,47.06,2.378,0.4992,0.4706,-0.0286,0.25586
odds:1.70-2.04,13,7,6,13.0,0.3,2.31,53.85,1.91,0.5825,0.5385,-0.0441,0.2479
odds:2.05-2.74,41,18,23,41.0,0.21,0.51,43.9,2.35,0.4798,0.439,-0.0408,0.25175
odds:2.75-3.49,9,4,5,9.0,2.79,31.0,44.44,2.899,0.4276,0.4444,0.0169,0.2448
odds:3.50+,1,1,0,1.0,2.6,260.0,100.0,3.6,0.3762,1.0,0.6238,0.38913
prob:30-35,1,1,0,1.0,2.21,221.0,100.0,3.215,0.3338,1.0,0.6662,0.44382
prob:35-40,4,2,2,4.0,2.35,58.75,50.0,2.994,0.3843,0.5,0.1157,0.26057
prob:40-45,15,7,8,15.0,2.21,14.73,46.67,2.593,0.431,0.4667,0.0357,0.25323
prob:45-50,17,7,10,17.0,-1.25,-7.35,41.18,2.379,0.4713,0.4118,-0.0595,0.24558
prob:50-55,14,5,9,14.0,-3.32,-23.71,35.71,2.124,0.5209,0.3571,-0.1637,0.25739
prob:55-60,6,3,3,6.0,0.79,13.17,50.0,2.157,0.5753,0.5,-0.0753,0.25805
prob:60-65,6,5,1,6.0,3.91,65.17,83.33,1.96,0.6195,0.8333,0.2138,0.1816
prob:65-70,1,0,1,1.0,-1.0,-100.0,0.0,1.91,0.6604,0.0,-0.6604,0.43613
