segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,24,10,14,24.0,-1.09,-4.54,41.67,2.319,0.4879,0.4167,-0.0712,0.25081
bookmaker:betfair exchange,2,1,1,2.0,-0.16,-8.0,50.0,1.91,0.5384,0.5,-0.0384,0.23241
bookmaker:unibet,7,3,4,7.0,0.01,0.14,42.86,2.279,0.4855,0.4286,-0.0569,0.25944
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,14,7,7,14.0,2.53,18.07,50.0,2.355,0.4873,0.5,0.0127,0.25448
context:ensemble,16,6,10,16.0,-2.68,-16.75,37.5,2.278,0.4769,0.375,-0.1019,0.24626
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,12,5,7,12.0,-1.62,-13.5,41.67,2.147,0.4975,0.4167,-0.0809,0.23802
family:dnb,6,3,3,6.0,1.57,26.17,50.0,2.484,0.4879,0.5,0.0121,0.26964
family:h2h,5,3,2,5.0,2.28,45.6,60.0,2.496,0.4354,0.6,0.1646,0.26629
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,9,2,7,9.0,-4.57,-50.78,22.22,2.243,0.5119,0.2222,-0.2897,0.24967
league:other,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
league:preferred,16,9,7,16.0,4.32,27.0,56.25,2.272,0.4876,0.5625,0.0749,0.2549
league:secondary,15,4,11,15.0,-5.47,-36.47,26.67,2.327,0.4841,0.2667,-0.2175,0.2531
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,11,5,6,11.0,-0.62,-5.64,45.45,2.116,0.503,0.4545,-0.0485,0.24228
market:dnb:away,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
market:dnb:home,5,2,3,5.0,-0.18,-3.6,40.0,2.431,0.5059,0.4,-0.1059,0.25116
market:h2h:away,1,1,0,1.0,1.5,150.0,100.0,2.5,0.4103,1.0,0.5897,0.34775
market:h2h:home,4,2,2,4.0,0.78,19.5,50.0,2.495,0.4416,0.5,0.0584,0.24592
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:under,9,2,7,9.0,-4.57,-50.78,22.22,2.243,0.5119,0.2222,-0.2897,0.24967
odds:1.70-2.04,7,3,4,7.0,-1.45,-20.71,42.86,1.883,0.5755,0.4286,-0.147,0.25004
odds:2.05-2.74,22,10,12,22.0,1.46,6.64,45.45,2.33,0.4764,0.4545,-0.0219,0.2566
odds:2.75-3.49,4,1,3,4.0,-1.25,-31.25,25.0,2.75,0.4185,0.25,-0.1685,0.22624
prob:35-40,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
prob:40-45,9,3,6,9.0,-1.62,-18.0,33.33,2.576,0.4317,0.3333,-0.0983,0.23477
prob:45-50,11,5,6,11.0,0.78,7.09,45.45,2.315,0.4712,0.4545,-0.0167,0.2516
prob:50-55,5,1,4,5.0,-2.9,-58.0,20.0,2.056,0.5163,0.2,-0.3163,0.26591
prob:55-60,4,2,2,4.0,0.04,1.0,50.0,2.047,0.5735,0.5,-0.0735,0.26508
prob:60-65,3,2,1,3.0,0.71,23.67,66.67,1.853,0.6137,0.6667,0.053,0.22268
